Kode,Nama,Kota
11.03.05,SERBAJADI,KAB. ACEH TIMUR
11.03.06,NURUSSALAM,KAB. ACEH TIMUR
11.03.07,PEUREULAK,KAB. ACEH TIMUR
11.03.08,RANTAU SELAMAT,KAB. ACEH TIMUR
11.03.09,SIMPANG ULIM,KAB. ACEH TIMUR
11.03.10,RANTO PEUREULAK,KAB. ACEH TIMUR
11.03.11,PANTE BIDARI,KAB. ACEH TIMUR
11.03.12,MADAT,KAB. ACEH TIMUR
11.03.13,INDRA MAKMUR,KAB. ACEH TIMUR
11.03.14,IDI TUNONG,KAB. ACEH TIMUR
11.03.15,BANDA ALAM,KAB. ACEH TIMUR
11.03.16,PEUDAWA,KAB. ACEH TIMUR
11.03.17,PEUREULAK TIMUR,KAB. ACEH TIMUR
11.03.18,PEUREULAK BARAT,KAB. ACEH TIMUR
11.03.19,SUNGAI RAYA,KAB. ACEH TIMUR
11.03.20,SIMPANG JERNIH,KAB. ACEH TIMUR
11.03.21,DARUL IHSAN,KAB. ACEH TIMUR
11.03.22,DARUL FALAH,KAB. ACEH TIMUR
11.03.23,IDI TIMUR,KAB. ACEH TIMUR
11.03.24,PEUNARON,KAB. ACEH TIMUR
11.04.01,LINGE,KAB. ACEH TENGAH
11.04.02,SILIH NARA,KAB. ACEH TENGAH
11.04.03,BEBESEN,KAB. ACEH TENGAH
11.04.07,PEGASING,KAB. ACEH TENGAH
11.04.08,BINTANG,KAB. ACEH TENGAH
11.04.10,KETOL,KAB. ACEH TENGAH
11.04.11,KEBAYAKAN,KAB. ACEH TENGAH
11.04.12,KUTE PANANG,KAB. ACEH TENGAH
11.04.13,CELALA,KAB. ACEH TENGAH
11.04.17,LUT TAWAR,KAB. ACEH TENGAH
11.04.18,ATU LINTANG,KAB. ACEH TENGAH
11.04.19,JAGONG JEGET,KAB. ACEH TENGAH
11.04.20,BIES,KAB. ACEH TENGAH
11.04.21,RUSIP ANTARA,KAB. ACEH TENGAH
11.05.01,JOHAN PAHLAWAN,KAB. ACEH BARAT
11.05.02,KAWAY XVI,KAB. ACEH BARAT
11.05.03,SUNGAI MAS,KAB. ACEH BARAT
11.05.04,WOYLA,KAB. ACEH BARAT
11.05.05,SAMATIGA,KAB. ACEH BARAT
11.05.06,BUBON,KAB. ACEH BARAT
11.05.07,ARONGAN LAMBALEK,KAB. ACEH BARAT
11.05.08,PANTE CEUREUMEN,KAB. ACEH BARAT
11.05.09,MEUREUBO,KAB. ACEH BARAT
11.05.10,WOYLA BARAT,KAB. ACEH BARAT
11.05.11,WOYLA TIMUR,KAB. ACEH BARAT
11.05.12,PANTON REU,KAB. ACEH BARAT
11.06.01,LHOONG,KAB. ACEH BESAR
11.06.02,LHOKNGA,KAB. ACEH BESAR
11.06.03,INDRAPURI,KAB. ACEH BESAR
11.06.04,SEULIMEUM,KAB. ACEH BESAR
11.06.05,MONTASIK,KAB. ACEH BESAR
11.06.06,SUKAMAKMUR,KAB. ACEH BESAR
11.06.07,DARUL IMARAH,KAB. ACEH BESAR
11.06.08,PEUKAN BADA,KAB. ACEH BESAR
11.06.09,MESJID RAYA,KAB. ACEH BESAR
11.06.10,INGIN JAYA,KAB. ACEH BESAR
11.06.11,KUTA BARO,KAB. ACEH BESAR
11.06.12,DARUSSALAM,KAB. ACEH BESAR
11.06.13,PULO ACEH,KAB. ACEH BESAR
11.06.14,LEMBAH SEULAWAH,KAB. ACEH BESAR
11.06.15,KOTA JANTHO,KAB. ACEH BESAR
11.06.16,KOTA COT GLIE,KAB. ACEH BESAR
11.06.17,KUTA MALAKA,KAB. ACEH BESAR
11.06.18,SIMPANG TIGA,KAB. ACEH BESAR
11.06.19,DARUL KAMAL,KAB. ACEH BESAR
11.06.20,BAITUSSALAM,KAB. ACEH BESAR
11.06.21,KRUENG BARONA JAYA,KAB. ACEH BESAR
11.06.22,LEUPUNG,KAB. ACEH BESAR
11.06.23,BLANG BINTANG,KAB. ACEH BESAR
11.07.03,BATEE,KAB. PIDIE
11.07.04,DELIMA,KAB. PIDIE
11.07.05,GEUMPANG,KAB. PIDIE
11.07.06,GEULUMPANG TIGA,KAB. PIDIE
11.07.07,INDRA JAYA,KAB. PIDIE
11.07.08,KEMBANG TANJONG,KAB. PIDIE
11.07.09,KOTA SIGLI,KAB. PIDIE
11.07.11,MILA,KAB. PIDIE
11.07.12,MUARA TIGA,KAB. PIDIE
11.07.13,MUTIARA,KAB. PIDIE
11.07.14,PADANG TIJI,KAB. PIDIE
11.07.15,PEUKAN BARO,KAB. PIDIE
11.07.16,PIDIE,KAB. PIDIE
11.07.17,SAKTI,KAB. PIDIE
11.07.18,SIMPANG TIGA,KAB. PIDIE
11.07.19,TANGSE,KAB. PIDIE
11.07.21,TIRO/TRUSEB,KAB. PIDIE
11.07.22,KEUMALA,KAB. PIDIE
11.07.24,MUTIARA TIMUR,KAB. PIDIE
11.07.25,GRONG-GRONG,KAB. PIDIE
11.07.27,MANE,KAB. PIDIE
11.07.29,GLUMPANG BARO,KAB. PIDIE
11.07.31,TITEUE,KAB. PIDIE
11.08.01,BAKTIYA,KAB. ACEH UTARA
11.08.02,DEWANTARA,KAB. ACEH UTARA
11.08.03,KUTA MAKMUR,KAB. ACEH UTARA
11.08.04,LHOKSUKON,KAB. ACEH UTARA
11.08.05,MATANGKULI,KAB. ACEH UTARA
11.08.06,MUARA BATU,KAB. ACEH UTARA
11.08.07,MEURAH MULIA,KAB. ACEH UTARA
11.08.08,SAMUDERA,KAB. ACEH UTARA
11.08.09,SEUNUDDON,KAB. ACEH UTARA
11.08.10,SYAMTALIRA ARON,KAB. ACEH UTARA
11.08.11,SYAMTALIRA BAYU,KAB. ACEH UTARA
11.08.12,TANAH LUAS,KAB. ACEH UTARA
11.08.13,TANAH PASIR,KAB. ACEH UTARA
11.08.14,TANAH JAMBO AYE,KAB. ACEH UTARA
11.08.15,SAWANG,KAB. ACEH UTARA
11.08.16,NISAM,KAB. ACEH UTARA
11.08.17,COT GIREK,KAB. ACEH UTARA
11.08.18,LANGKAHAN,KAB. ACEH UTARA
11.08.19,BAKTIYA BARAT,KAB. ACEH UTARA
11.08.20,PAYA BAKONG,KAB. ACEH UTARA
11.08.21,NIBONG,KAB. ACEH UTARA
11.08.22,SIMPANG KRAMAT,KAB. ACEH UTARA
11.08.23,LAPANG,KAB. ACEH UTARA
11.08.24,PIRAK TIMUR,KAB. ACEH UTARA
11.08.25,GEUREDONG PASE,KAB. ACEH UTARA
11.08.26,BANDA BARO,KAB. ACEH UTARA
11.08.27,NISAM ANTARA,KAB. ACEH UTARA
11.09.01,SIMEULUE TENGAH,KAB. SIMEULUE
11.09.02,SALANG,KAB. SIMEULUE
11.09.03,TEUPAH BARAT,KAB. SIMEULUE
11.09.04,SIMEULUE TIMUR,KAB. SIMEULUE
11.09.05,TELUK DALAM,KAB. SIMEULUE
11.09.06,SIMEULUE BARAT,KAB. SIMEULUE
11.09.07,TEUPAH SELATAN,KAB. SIMEULUE
11.09.08,ALAPAN,KAB. SIMEULUE
11.09.09,TEUPAH TENGAH,KAB. SIMEULUE
11.09.10,SIMEULUE CUT,KAB. SIMEULUE
11.10.01,PULAU BANYAK,KAB. ACEH SINGKIL
11.10.02,SIMPANG KANAN,KAB. ACEH SINGKIL
11.10.04,SINGKIL,KAB. ACEH SINGKIL
11.10.06,GUNUNG MERIAH,KAB. ACEH SINGKIL
11.10.09,KOTA BAHARU,KAB. ACEH SINGKIL
11.10.10,SINGKIL UTARA,KAB. ACEH SINGKIL
11.10.11,DANAU PARIS,KAB. ACEH SINGKIL
11.10.12,SURO MAKMUR,KAB. ACEH SINGKIL
11.10.13,SINGKOHOR,KAB. ACEH SINGKIL
11.10.14,KUALA BARU,KAB. ACEH SINGKIL
11.10.16,PULAU BANYAK BARAT,KAB. ACEH SINGKIL
11.11.01,SAMALANGA,KAB. BIREUEN
11.11.02,JEUNIEB,KAB. BIREUEN
11.11.03,PEUDADA,KAB. BIREUEN
11.11.04,JEUMPA,KAB. BIREUEN
11.11.05,PEUSANGAN,KAB. BIREUEN
11.11.06,MAKMUR,KAB. BIREUEN
11.11.07,GANDAPURA,KAB. BIREUEN
11.11.08,PANDRAH,KAB. BIREUEN
11.11.09,JULI,KAB. BIREUEN
11.11.10,JANGKA,KAB. BIREUEN
11.11.11,SIMPANG MAMPLAM,KAB. BIREUEN
11.11.12,PEULIMBANG,KAB. BIREUEN
11.11.13,KOTA JUANG,KAB. BIREUEN
11.11.14,KUALA,KAB. BIREUEN
11.11.15,PEUSANGAN SIBLAH KRUENG,KAB. BIREUEN
11.11.16,PEUSANGAN SELATAN,KAB. BIREUEN
11.11.17,KUTA BLANG,KAB. BIREUEN
11.12.01,BLANG PIDIE,KAB. ACEH BARAT DAYA
11.12.02,TANGAN-TANGAN,KAB. ACEH BARAT DAYA
11.12.03,MANGGENG,KAB. ACEH BARAT DAYA
11.12.04,SUSOH,KAB. ACEH BARAT DAYA
11.12.05,KUALA BATEE,KAB. ACEH BARAT DAYA
11.12.06,BABAH ROT,KAB. ACEH BARAT DAYA
11.12.07,SETIA,KAB. ACEH BARAT DAYA
11.12.08,JEUMPA,KAB. ACEH BARAT DAYA
11.12.09,LEMBAH SABIL,KAB. ACEH BARAT DAYA
11.13.01,BLANGKEJEREN,KAB. GAYO LUES
11.13.02,KUTAPANJANG,KAB. GAYO LUES
11.13.03,RIKIT GAIB,KAB. GAYO LUES
11.13.04,TERANGUN,KAB. GAYO LUES
11.13.05,PINING,KAB. GAYO LUES
11.13.06,BLANGPEGAYON,KAB. GAYO LUES
11.13.07,PUTERI BETUNG,KAB. GAYO LUES
11.13.08,DABUN GELANG,KAB. GAYO LUES
11.13.09,BLANGJERANGO,KAB. GAYO LUES
11.13.10,TERIPE JAYA,KAB. GAYO LUES
11.13.11,PANTAN CUACA,KAB. GAYO LUES
11.14.01,TEUNOM,KAB. ACEH JAYA
11.14.02,KRUENG SABEE,KAB. ACEH JAYA
11.14.03,SETIA BAKTI,KAB. ACEH JAYA
11.14.04,SAMPOINIET,KAB. ACEH JAYA
11.14.05,JAYA,KAB. ACEH JAYA
11.14.06,PANGA,KAB. ACEH JAYA
11.14.07,INDRA JAYA,KAB. ACEH JAYA
11.14.08,DARUL HIKMAH,KAB. ACEH JAYA
11.14.09,PASIE RAYA,KAB. ACEH JAYA
11.15.01,KUALA,KAB. NAGAN RAYA
11.15.02,SEUNAGAN,KAB. NAGAN RAYA
11.15.03,SEUNAGAN TIMUR,KAB. NAGAN RAYA
11.15.04,BEUTONG,KAB. NAGAN RAYA
11.15.05,DARUL MAKMUR,KAB. NAGAN RAYA
11.15.06,SUKA MAKMUE,KAB. NAGAN RAYA
11.15.07,KUALA PESISIR,KAB. NAGAN RAYA
11.15.08,TADU RAYA,KAB. NAGAN RAYA
11.15.09,TRIPA MAKMUR,KAB. NAGAN RAYA
11.15.10,BEUTONG ATEUH BANGGALANG,KAB. NAGAN RAYA
11.16.01,MANYAK PAYED,KAB. ACEH TAMIANG
11.16.02,BENDAHARA,KAB. ACEH TAMIANG
11.16.03,KARANG BARU,KAB. ACEH TAMIANG
11.16.04,SERUWAY,KAB. ACEH TAMIANG
11.16.05,KOTA KUALASIMPANG,KAB. ACEH TAMIANG
11.16.06,KEJURUAN MUDA,KAB. ACEH TAMIANG
11.16.07,TAMIANG HULU,KAB. ACEH TAMIANG
11.16.08,RANTAU,KAB. ACEH TAMIANG
11.16.09,BANDA MULIA,KAB. ACEH TAMIANG
11.16.10,BANDAR PUSAKA,KAB. ACEH TAMIANG
11.16.11,TENGGULUN,KAB. ACEH TAMIANG
11.16.12,SEKERAK,KAB. ACEH TAMIANG
11.17.01,PINTU RIME GAYO,KAB. BENER MERIAH
11.17.02,PERMATA,KAB. BENER MERIAH
11.17.03,SYIAH UTAMA,KAB. BENER MERIAH
11.17.04,BANDAR,KAB. BENER MERIAH
11.17.05,BUKIT,KAB. BENER MERIAH
11.17.06,WIH PESAM,KAB. BENER MERIAH
11.17.07,TIMANG GAJAH,KAB. BENER MERIAH
11.17.08,BENER KELIPAH,KAB. BENER MERIAH
11.17.09,MESIDAH,KAB. BENER MERIAH
11.17.10,GAJAH PUTIH,KAB. BENER MERIAH
11.18.01,MEUREUDU,KAB. PIDIE JAYA
11.18.02,ULIM,KAB. PIDIE JAYA
11.18.03,JANGKA BUYA,KAB. PIDIE JAYA
11.18.04,BANDAR DUA,KAB. PIDIE JAYA
11.18.05,MEURAH DUA,KAB. PIDIE JAYA
11.18.06,BANDAR BARU,KAB. PIDIE JAYA
11.18.07,PANTERAJA,KAB. PIDIE JAYA
11.18.08,TRIENGGADENG,KAB. PIDIE JAYA
11.71.01,BAITURRAHMAN,KOTA BANDA ACEH
11.71.02,KUTA ALAM,KOTA BANDA ACEH
11.71.03,MEURAXA,KOTA BANDA ACEH
11.71.04,SYIAH KUALA,KOTA BANDA ACEH
11.71.05,LUENG BATA,KOTA BANDA ACEH
11.71.06,KUTA RAJA,KOTA BANDA ACEH
11.71.07,BANDA RAYA,KOTA BANDA ACEH
11.71.08,JAYA BARU,KOTA BANDA ACEH
11.71.09,ULEE KARENG,KOTA BANDA ACEH
11.72.01,SUKAKARYA,KOTA SABANG
11.72.02,SUKAJAYA,KOTA SABANG
11.72.03,SUKAMAKMUE,KOTA SABANG
11.73.01,MUARA DUA,KOTA LHOKSEUMAWE
11.73.02,BANDA SAKTI,KOTA LHOKSEUMAWE
11.73.03,BLANG MANGAT,KOTA LHOKSEUMAWE
11.73.04,MUARA SATU,KOTA LHOKSEUMAWE
11.74.01,LANGSA TIMUR,KOTA LANGSA
11.74.02,LANGSA BARAT,KOTA LANGSA
11.74.03,LANGSA KOTA,KOTA LANGSA
11.74.04,LANGSA LAMA,KOTA LANGSA
11.74.05,LANGSA BARO,KOTA LANGSA
11.75.01,SIMPANG KIRI,KOTA SUBULUSSALAM
11.75.02,PENANGGALAN,KOTA SUBULUSSALAM
11.75.03,RUNDENG,KOTA SUBULUSSALAM
11.75.04,SULTAN DAULAT,KOTA SUBULUSSALAM
11.75.05,LONGKIB,KOTA SUBULUSSALAM
12.01.01,BARUS,KAB. TAPANULI TENGAH
12.01.02,SORKAM,KAB. TAPANULI TENGAH
12.01.03,PANDAN,KAB. TAPANULI TENGAH
12.01.04,PINANGSORI,KAB. TAPANULI TENGAH
12.01.05,MANDUAMAS,KAB. TAPANULI TENGAH
12.01.06,KOLANG,KAB. TAPANULI TENGAH
12.01.07,TAPIAN NAULI,KAB. TAPANULI TENGAH
12.01.08,SIBABANGUN,KAB. TAPANULI TENGAH
12.01.09,SOSORGADONG,KAB. TAPANULI TENGAH
12.01.10,SORKAM BARAT,KAB. TAPANULI TENGAH
12.01.11,SIRANDORUNG,KAB. TAPANULI TENGAH
12.01.12,ANDAM DEWI,KAB. TAPANULI TENGAH
12.01.13,SITAHUIS,KAB. TAPANULI TENGAH
12.01.14,TUKKA,KAB. TAPANULI TENGAH
12.01.15,BADIRI,KAB. TAPANULI TENGAH
12.01.16,PASARIBU TOBING,KAB. TAPANULI TENGAH
12.01.17,BARUS UTARA,KAB. TAPANULI TENGAH
12.01.18,SUKA BANGUN,KAB. TAPANULI TENGAH
12.01.19,LUMUT,KAB. TAPANULI TENGAH
12.01.20,SARUDIK,KAB. TAPANULI TENGAH
12.02.01,TARUTUNG,KAB. TAPANULI UTARA
12.02.02,SIATAS BARITA,KAB. TAPANULI UTARA
12.02.03,ADIAN KOTING,KAB. TAPANULI UTARA
12.02.04,SIPOHOLON,KAB. TAPANULI UTARA
12.02.05,PAHAE JULU,KAB. TAPANULI UTARA
12.02.06,PAHAE JAE,KAB. TAPANULI UTARA
12.02.07,SIMANGUMBAN,KAB. TAPANULI UTARA
12.02.08,PURBA TUA,KAB. TAPANULI UTARA
12.02.09,SIBORONG-BORONG,KAB. TAPANULI UTARA
12.02.10,PAGARAN,KAB. TAPANULI UTARA
12.02.11,PARMONANGAN,KAB. TAPANULI UTARA
12.02.12,SIPAHUTAR,KAB. TAPANULI UTARA
12.02.13,PANGARIBUAN,KAB. TAPANULI UTARA
12.02.14,GAROGA,KAB. TAPANULI UTARA
12.02.15,MUARA,KAB. TAPANULI UTARA
12.03.01,ANGKOLA BARAT,KAB. TAPANULI SELATAN
12.03.02,BATANG TORU,KAB. TAPANULI SELATAN
12.03.03,ANGKOLA TIMUR,KAB. TAPANULI SELATAN
12.03.04,SIPIROK,KAB. TAPANULI SELATAN
12.03.05,SAIPAR DOLOK HOLE,KAB. TAPANULI SELATAN
12.03.06,ANGKOLA SELATAN,KAB. TAPANULI SELATAN
12.03.07,BATANG ANGKOLA,KAB. TAPANULI SELATAN
12.03.14,ARSE,KAB. TAPANULI SELATAN
12.03.20,MARANCAR,KAB. TAPANULI SELATAN
12.03.21,SAYUR MATINGGI,KAB. TAPANULI SELATAN
12.03.22,AEK BILAH,KAB. TAPANULI SELATAN
12.03.29,MUARA BATANG TORU,KAB. TAPANULI SELATAN
12.03.30,TANO TOMBANGAN ANGKOLA,KAB. TAPANULI SELATAN
12.03.31,ANGKOLA SANGKUNUR,KAB. TAPANULI SELATAN
12.03.32,ANGKOLA MUARA TAIS,KAB. TAPANULI SELATAN
12.04.05,HILIDUHO,KAB. NIAS
12.04.06,GIDO,KAB. NIAS
12.04.10,IDANOGAWO,KAB. NIAS
12.04.11,BAWOLATO,KAB. NIAS
12.04.20,HILISERANGKAI,KAB. NIAS
12.04.21,BOTOMUZOI,KAB. NIAS
12.04.27,ULUGAWO,KAB. NIAS
12.04.28,MAU,KAB. NIAS
12.04.29,SOMOLO-MOLO,KAB. NIAS
12.04.35,SOGAEADU,KAB. NIAS
12.05.01,BAHOROK,KAB. LANGKAT
12.05.02,SALAPIAN,KAB. LANGKAT
12.05.03,KUALA,KAB. LANGKAT
12.05.04,SEI BINGAI,KAB. LANGKAT
12.05.05,BINJAI,KAB. LANGKAT
12.05.06,SELESAI,KAB. LANGKAT
12.05.07,STABAT,KAB. LANGKAT
12.05.08,WAMPU,KAB. LANGKAT
12.05.09,SECANGGANG,KAB. LANGKAT
12.05.10,HINAI,KAB. LANGKAT
12.05.11,TANJUNG PURA,KAB. LANGKAT
12.05.12,PADANG TUALANG,KAB. LANGKAT
12.05.13,GEBANG,KAB. LANGKAT
12.05.14,BABALAN,KAB. LANGKAT
12.05.15,PANGKALAN SUSU,KAB. LANGKAT
12.05.16,BESITANG,KAB. LANGKAT
12.05.17,SEI LEPAN,KAB. LANGKAT
12.05.18,BRANDAN BARAT,KAB. LANGKAT
12.05.19,BATANG SERANGAN,KAB. LANGKAT
12.05.20,SAWIT SEBERANG,KAB. LANGKAT
12.05.21,SIRAPIT,KAB. LANGKAT
12.05.22,KUTAMBARU,KAB. LANGKAT
12.05.23,PEMATANG JAYA,KAB. LANGKAT
12.06.01,KABANJAHE,KAB. KARO
12.06.02,BERASTAGI,KAB. KARO
12.06.03,BARUSJAHE,KAB. KARO
12.06.04,TIGAPANAH,KAB. KARO
12.06.05,MEREK,KAB. KARO
12.06.06,MUNTE,KAB. KARO
12.06.07,JUHAR,KAB. KARO
12.06.08,TIGABINANGA,KAB. KARO
12.06.09,LAUBALENG,KAB. KARO
12.06.10,MARDINGDING,KAB. KARO
12.06.11,PAYUNG,KAB. KARO
12.06.12,SIMPANG EMPAT,KAB. KARO
12.06.13,KUTABULUH,KAB. KARO
12.06.14,DOLAT RAYAT,KAB. KARO
12.06.15,MERDEKA,KAB. KARO
12.06.16,NAMAN TERAN,KAB. KARO
12.06.17,TIGANDERKET,KAB. KARO
12.07.01,GUNUNG MERIAH,KAB. DELI SERDANG
12.07.02,TANJUNG MORAWA,KAB. DELI SERDANG
12.07.03,SIBOLANGIT,KAB. DELI SERDANG
12.07.04,KUTALIMBARU,KAB. DELI SERDANG
12.07.05,PANCUR BATU,KAB. DELI SERDANG
12.07.06,NAMORAMBE,KAB. DELI SERDANG
12.07.07,BIRU-BIRU,KAB. DELI SERDANG
12.07.08,SINEMBAH TANJUNG MUDA HILIR,KAB. DELI SERDANG
12.07.09,BANGUN PURBA,KAB. DELI SERDANG
12.07.19,GALANG,KAB. DELI SERDANG
12.07.20,SINEMBAH TANJUNG MUDA HULU,KAB. DELI SERDANG
12.07.21,PATUMBAK,KAB. DELI SERDANG
12.07.22,DELI TUA,KAB. DELI SERDANG
12.07.23,SUNGGAL,KAB. DELI SERDANG
12.07.24,HAMPARAN PERAK,KAB. DELI SERDANG
12.07.25,LABUHAN DELI,KAB. DELI SERDANG
12.07.26,PERCUT SEI TUAN,KAB. DELI SERDANG
12.07.27,BATANG KUIS,KAB. DELI SERDANG
12.07.28,LUBUK PAKAM,KAB. DELI SERDANG
12.07.31,PAGAR MERBAU,KAB. DELI SERDANG
12.07.32,PANTAI LABU,KAB. DELI SERDANG
12.07.33,BERINGIN,KAB. DELI SERDANG
12.08.01,SIANTAR,KAB. SIMALUNGUN
12.08.02,GUNUNG MALELA,KAB. SIMALUNGUN
12.08.03,GUNUNG MALIGAS,KAB. SIMALUNGUN
12.08.04,PANEI,KAB. SIMALUNGUN
12.08.05,PANOMBEIAN PANEI,KAB. SIMALUNGUN
12.08.06,JORLANG HATARAN,KAB. SIMALUNGUN
12.08.07,RAYA KAHEAN,KAB. SIMALUNGUN
12.08.08,BOSAR MALIGAS,KAB. SIMALUNGUN
12.08.09,SIDAMANIK,KAB. SIMALUNGUN
12.08.10,PEMATANG SIDAMANIK,KAB. SIMALUNGUN
12.08.11,TANAH JAWA,KAB. SIMALUNGUN
12.08.12,HATONDUHAN,KAB. SIMALUNGUN
12.08.13,DOLOK PANRIBUAN,KAB. SIMALUNGUN
12.08.14,PURBA,KAB. SIMALUNGUN
12.08.15,HARANGGAOL HORISON,KAB. SIMALUNGUN
12.08.16,GIRSANG SIPANGAN BOLON,KAB. SIMALUNGUN
12.08.17,DOLOK BATU NANGGAR,KAB. SIMALUNGUN
12.08.18,HUTA BAYU RAJA,KAB. SIMALUNGUN
12.08.19,JAWA MARAJA BAH JAMBI,KAB. SIMALUNGUN
12.08.20,DOLOK PARDAMEAN,KAB. SIMALUNGUN
12.08.21,PEMATANG BANDAR,KAB. SIMALUNGUN
12.08.22,BANDAR HULUAN,KAB. SIMALUNGUN
12.08.23,BANDAR,KAB. SIMALUNGUN
12.08.24,BANDAR MASILAM,KAB. SIMALUNGUN
12.08.25,SILIMAKUTA,KAB. SIMALUNGUN
12.08.26,DOLOK SILAU,KAB. SIMALUNGUN
12.08.27,SILOU KAHEAN,KAB. SIMALUNGUN
12.08.28,TAPIAN DOLOK,KAB. SIMALUNGUN
12.08.29,RAYA,KAB. SIMALUNGUN
12.08.30,UJUNG PADANG,KAB. SIMALUNGUN
12.08.31,PAMATANG SILIMA HUTA,KAB. SIMALUNGUN
12.08.32,DOLOG MASAGAL,KAB. SIMALUNGUN
12.09.08,MERANTI,KAB. ASAHAN
12.09.09,AIR JOMAN,KAB. ASAHAN
12.09.10,TANJUNG BALAI,KAB. ASAHAN
12.09.11,SEI KEPAYANG,KAB. ASAHAN
12.09.12,SIMPANG EMPAT,KAB. ASAHAN
12.09.13,AIR BATU,KAB. ASAHAN
12.09.14,PULAU RAKYAT,KAB. ASAHAN
12.09.15,BANDAR PULAU,KAB. ASAHAN
12.09.16,BUNTU PANE,KAB. ASAHAN
12.09.17,BANDAR PASIR MANDOGE,KAB. ASAHAN
12.09.18,AEK KUASAN,KAB. ASAHAN
12.09.19,KOTA KISARAN BARAT,KAB. ASAHAN
12.09.20,KOTA KISARAN TIMUR,KAB. ASAHAN
12.09.21,AEK SONGSONGAN,KAB. ASAHAN
12.09.22,RAHUNING,KAB. ASAHAN
12.09.23,SEI DADAP,KAB. ASAHAN
12.09.24,SEI KEPAYANG BARAT,KAB. ASAHAN
12.09.25,SEI KEPAYANG TIMUR,KAB. ASAHAN
12.09.26,TINGGI RAJA,KAB. ASAHAN
12.09.27,SETIA JANJI,KAB. ASAHAN
12.09.28,SILAU LAUT,KAB. ASAHAN
12.09.29,RAWANG PANCA ARGA,KAB. ASAHAN
12.09.30,PULO BANDRING,KAB. ASAHAN
12.09.31,TELUK DALAM,KAB. ASAHAN
12.09.32,AEK LEDONG,KAB. ASAHAN
12.10.01,RANTAU UTARA,KAB. LABUHANBATU
12.10.02,RANTAU SELATAN,KAB. LABUHANBATU
12.10.07,BILAH BARAT,KAB. LABUHANBATU
12.10.08,BILAH HILIR,KAB. LABUHANBATU
12.10.09,BILAH HULU,KAB. LABUHANBATU
12.10.14,PANGKATAN,KAB. LABUHANBATU
12.10.18,PANAI TENGAH,KAB. LABUHANBATU
12.10.19,PANAI HILIR,KAB. LABUHANBATU
12.10.20,PANAI HULU,KAB. LABUHANBATU
12.11.01,SIDIKALANG,KAB. DAIRI
12.11.02,SUMBUL,KAB. DAIRI
12.11.03,TIGALINGGA,KAB. DAIRI
12.11.04,SIEMPAT NEMPU,KAB. DAIRI
12.11.05,SILIMA PUNGGA PUNGGA,KAB. DAIRI
12.11.06,TANAH PINEM,KAB. DAIRI
12.11.07,SIEMPAT NEMPU HULU,KAB. DAIRI
12.11.08,SIEMPAT NEMPU HILIR,KAB. DAIRI
12.11.09,PEGAGAN HILIR,KAB. DAIRI
12.11.10,PARBULUAN,KAB. DAIRI
12.11.11,LAE PARIRA,KAB. DAIRI
12.11.12,GUNUNG SITEMBER,KAB. DAIRI
12.11.13,BERAMPU,KAB. DAIRI
12.11.14,SILAHISABUNGAN,KAB. DAIRI
